variant,family,exponent,lr_matrix,final_val_loss,train_seconds,seed
Adam,adam,1.0,0.003,2.3242,31.3,1337
Adam,adam,1.0,0.004,2.3253,31.5,1337
Adam,adam,1.0,0.006,2.3361,29.1,1337
Adam,adam,1.0,0.01,2.4918,34.0,1337
AdamS,adam,0.5,0.006,2.3054,42.1,1337
AdamS,adam,0.5,0.008,2.2856,36.7,1337
AdamS,adam,0.5,0.01,2.2814,39.2,1337
AdamS,adam,0.5,0.02,2.2717,37.1,1337
AdamQ,adam,0.25,0.006,2.4981,46.6,1337
AdamQ,adam,0.25,0.01,2.3388,46.3,1337
AdamQ,adam,0.25,0.02,2.2471,46.9,1337
AdamQ,adam,0.25,0.03,2.2190,47.3,1337
AdamZ,adam,0.0,0.003,3.0378,36.0,1337
AdamZ,adam,0.0,0.006,2.5618,36.5,1337
AdamZ,adam,0.0,0.007,2.4636,43.1,1337
AdamZ,adam,0.0,0.01,2.2974,36.5,1337
mSGD,msgd,1.0,1.0,3.0970,30.1,1337
mSGD,msgd,1.0,2.0,3.4439,29.7,1337
mSGD,msgd,1.0,5.0,4.3550,29.5,1337
mSGD,msgd,1.0,10.0,5.8058,27.3,1337
mSGDZ,msgd,0.0,0.003,2.8548,39.8,1337
mSGDZ,msgd,0.0,0.007,2.3996,42.9,1337
mSGDZ,msgd,0.0,0.01,2.2862,35.3,1337
mSGDZ,msgd,0.0,0.02,2.1638,38.7,1337
mSGDS,msgd,0.5,0.03,2.3550,39.1,1337
mSGDS,msgd,0.5,0.1,2.3334,37.9,1337
mSGDS,msgd,0.5,0.2,2.3512,37.7,1337
mSGDS,msgd,0.5,0.3,2.3581,39.9,1337
mSGDQ,msgd,0.25,0.03,2.3261,51.8,1337
mSGDQ,msgd,0.25,0.06,2.3026,48.6,1337
mSGDQ,msgd,0.25,0.1,2.2983,50.3,1337
mSGDQ,msgd,0.25,0.2,2.3044,46.5,1337
